"","stars","review_count","BikeParking","BusinessParking","HasTV","NoiseLevel","hours.time"
"981",3.5,250,TRUE,"YES",TRUE,"loud",93
"982",3,30,TRUE,"NO",TRUE,"average",101
"989",3,116,TRUE,"YES",TRUE,"quiet",31.5
"990",4.5,84,FALSE,"YES",TRUE,"average",61
"992",2,30,TRUE,"NO",TRUE,"average",75.5
"997",4.5,116,TRUE,"YES",TRUE,"average",98
"1000",3,10,TRUE,"YES",TRUE,"very_loud",97
"1002",4.5,130,TRUE,"YES",FALSE,"quiet",74.5
"1003",3.5,167,FALSE,"YES",TRUE,"average",41
"1004",2.5,30,TRUE,"YES",TRUE,"average",22
"1009",3.5,255,TRUE,"YES",TRUE,"average",103
"1010",1.5,19,FALSE,"NO",TRUE,"average",70
"1011",3,34,TRUE,"YES",TRUE,"average",94
"1012",3.5,26,TRUE,"YES",TRUE,"average",96
"1013",3,20,TRUE,"YES",TRUE,"average",84
"1017",4,115,TRUE,"YES",TRUE,"loud",100
"1019",4.5,88,TRUE,"YES",TRUE,"average",63
"1020",4,229,TRUE,"YES",TRUE,"average",82.5
"1021",2,23,FALSE,"YES",TRUE,"loud",71
"1023",3.5,3,TRUE,"NO",TRUE,"average",101
"1024",4,156,TRUE,"YES",FALSE,"average",39
"1025",3,111,TRUE,"YES",TRUE,"average",38
"1029",3.5,28,FALSE,"YES",TRUE,"average",92
"1030",4,85,FALSE,"YES",TRUE,"average",105
"1031",4,56,FALSE,"NO",TRUE,"average",83
"1034",4,184,TRUE,"YES",TRUE,"quiet",46.5
"1035",3,160,TRUE,"YES",TRUE,"average",102
"1036",3.5,286,TRUE,"YES",TRUE,"average",78
"1037",3,83,TRUE,"YES",TRUE,"average",92
"1038",3.5,55,FALSE,"YES",TRUE,"average",92
"1040",3,26,TRUE,"YES",TRUE,"very_loud",56.5
"1041",3.5,138,TRUE,"YES",TRUE,"average",82
"1043",4,220,TRUE,"YES",TRUE,"loud",105.5
"1048",2,7,TRUE,"YES",TRUE,"quiet",66.5
"1052",3,127,FALSE,"YES",TRUE,"average",81
"1056",4.5,3,FALSE,"NO",TRUE,"average",68
"1060",4,154,TRUE,"YES",TRUE,"average",75.5
"1063",3.5,38,TRUE,"YES",TRUE,"average",91
"1064",3.5,9,TRUE,"NO",FALSE,"average",84
"1065",3.5,38,TRUE,"YES",FALSE,"average",37.5
"1066",4,834,TRUE,"YES",TRUE,"average",98
"1070",3.5,24,FALSE,"NO",TRUE,"average",92
"1073",4,146,TRUE,"NO",TRUE,"loud",65.5
"1078",4,13,FALSE,"YES",TRUE,"average",86.5
"1083",4.5,30,TRUE,"YES",TRUE,"average",13
"1084",2,67,TRUE,"YES",TRUE,"average",91
"1086",3.5,35,TRUE,"YES",TRUE,"loud",102
"1087",4,83,TRUE,"YES",TRUE,"average",32
"1088",3.5,55,TRUE,"YES",TRUE,"average",41
"1091",3.5,197,TRUE,"YES",TRUE,"loud",27
"1092",3.5,183,TRUE,"YES",TRUE,"average",83
"1093",4.5,97,TRUE,"YES",FALSE,"average",6
"1094",4.5,9,TRUE,"YES",TRUE,"loud",98
"1096",2.5,13,TRUE,"NO",TRUE,"average",101.5
"1098",3.5,73,TRUE,"YES",FALSE,"average",37
"1099",3.5,101,TRUE,"YES",TRUE,"loud",112
"1100",3,34,TRUE,"YES",TRUE,"average",108.5
"1106",2.5,39,TRUE,"YES",TRUE,"average",77
"1107",4.5,126,TRUE,"YES",TRUE,"quiet",65
"1108",3.5,36,TRUE,"YES",TRUE,"average",65
"1109",4,16,TRUE,"YES",TRUE,"very_loud",69.5
"1110",4,28,FALSE,"YES",TRUE,"average",103
"1114",4,73,TRUE,"YES",FALSE,"average",53
"1115",4,235,TRUE,"YES",TRUE,"average",60
"1116",2,37,TRUE,"YES",TRUE,"average",101
"1120",4,44,TRUE,"YES",TRUE,"average",73.5
"1121",4.5,398,FALSE,"YES",TRUE,"average",108
"1126",3.5,14,TRUE,"NO",TRUE,"average",50.5
"1127",4,190,TRUE,"YES",TRUE,"average",33
"1128",4,81,TRUE,"NO",TRUE,"quiet",58
"1129",3.5,38,TRUE,"YES",TRUE,"average",133
"1130",4,795,TRUE,"YES",TRUE,"very_loud",102
"1132",3.5,12,TRUE,"YES",TRUE,"quiet",44
"1133",4,137,TRUE,"YES",TRUE,"average",60
"1134",4.5,140,TRUE,"YES",FALSE,"quiet",83
"1135",4,172,TRUE,"YES",TRUE,"average",82
"1139",3.5,11,TRUE,"YES",TRUE,"average",72
"1142",3.5,29,TRUE,"YES",TRUE,"average",40
"1143",3.5,149,TRUE,"YES",TRUE,"average",128.5
"1144",4.5,590,FALSE,"YES",FALSE,"average",55
"1145",4,444,TRUE,"YES",TRUE,"average",78
"1147",4.5,79,TRUE,"YES",TRUE,"average",67
"1148",4,92,TRUE,"YES",TRUE,"average",114.5
"1149",3.5,59,TRUE,"YES",TRUE,"quiet",63
"1154",3,86,FALSE,"YES",TRUE,"average",83
"1159",3.5,75,FALSE,"YES",TRUE,"average",87.5
"1162",4,10,FALSE,"YES",TRUE,"quiet",104
"1165",2.5,45,FALSE,"YES",TRUE,"average",87
"1167",4.5,134,TRUE,"YES",TRUE,"average",64
"1168",3.5,173,TRUE,"YES",TRUE,"average",83
"1171",2.5,111,FALSE,"YES",TRUE,"average",77
"1173",3.5,100,FALSE,"YES",TRUE,"loud",42.75
"1175",4,27,TRUE,"NO",TRUE,"loud",87.5
"1176",3.5,42,TRUE,"NO",TRUE,"very_loud",45
"1180",3,49,FALSE,"YES",TRUE,"average",92
"1181",4,351,TRUE,"YES",TRUE,"average",77
"1182",2.5,58,FALSE,"YES",TRUE,"average",105
"1183",2.5,29,TRUE,"NO",TRUE,"average",100
"1186",4.5,92,FALSE,"YES",TRUE,"average",75.5
"1187",4,218,TRUE,"YES",TRUE,"average",67
"1188",3.5,590,TRUE,"YES",TRUE,"average",106
"1193",2.5,36,FALSE,"YES",TRUE,"average",79
"1197",2.5,15,TRUE,"YES",TRUE,"average",97
"1198",3.5,36,TRUE,"YES",TRUE,"average",82
"1200",3.5,79,TRUE,"YES",TRUE,"average",99
"1201",3.5,88,TRUE,"YES",TRUE,"average",84.5
"1203",4,35,TRUE,"YES",FALSE,"loud",40
"1204",4.5,225,TRUE,"YES",TRUE,"average",36
"1205",4.5,223,TRUE,"YES",TRUE,"average",100
"1206",4.5,56,TRUE,"YES",TRUE,"average",56
"1208",3.5,20,FALSE,"YES",TRUE,"loud",70
"1209",2.5,53,FALSE,"YES",TRUE,"average",85
"1210",3,142,FALSE,"NO",TRUE,"average",111
"1212",3.5,91,TRUE,"YES",TRUE,"average",105
"1217",3,93,TRUE,"YES",TRUE,"average",78
"1219",3,11,FALSE,"YES",TRUE,"very_loud",20
"1222",4.5,130,TRUE,"YES",TRUE,"average",45
"1224",2.5,56,TRUE,"NO",TRUE,"loud",108.5
"1227",4,75,TRUE,"YES",TRUE,"loud",131
"1229",2.5,34,FALSE,"YES",TRUE,"average",100
"1231",4,22,TRUE,"YES",TRUE,"loud",50
"1232",4.5,91,TRUE,"NO",TRUE,"average",96
"1233",3,91,TRUE,"YES",TRUE,"average",82
"1234",4.5,113,FALSE,"YES",TRUE,"loud",52
"1236",3.5,394,TRUE,"YES",FALSE,"average",80
"1238",4,76,TRUE,"YES",TRUE,"average",116
"1239",3.5,40,TRUE,"YES",TRUE,"average",105
"1240",4,84,TRUE,"YES",TRUE,"average",39
"1241",3.5,139,TRUE,"YES",TRUE,"average",79
"1244",4,444,TRUE,"YES",TRUE,"average",80
"1245",4.5,260,FALSE,"YES",TRUE,"average",70.5
"1248",4.5,82,FALSE,"NO",TRUE,"quiet",76.5
"1249",4,24,FALSE,"YES",TRUE,"average",89
"1253",3,45,TRUE,"YES",TRUE,"average",85
"1256",4,39,FALSE,"YES",TRUE,"quiet",74
"1257",4,177,TRUE,"YES",TRUE,"average",75
"1260",3,84,TRUE,"YES",TRUE,"average",120.5
"1266",3,54,TRUE,"YES",TRUE,"average",90
"1267",4,92,TRUE,"YES",TRUE,"average",79
"1269",3,38,FALSE,"YES",TRUE,"loud",87
"1271",4,20,FALSE,"YES",TRUE,"average",28
"1272",3.5,47,TRUE,"YES",TRUE,"average",94
"1274",4,43,TRUE,"YES",TRUE,"average",106
"1275",4.5,7,TRUE,"NO",TRUE,"quiet",98
"1281",3.5,5,TRUE,"NO",TRUE,"very_loud",40
"1283",3.5,4,FALSE,"NO",TRUE,"average",98
"1285",3.5,58,FALSE,"YES",TRUE,"average",92
"1286",4,35,TRUE,"NO",TRUE,"average",56
"1287",3,42,TRUE,"YES",TRUE,"average",75.25
"1288",3.5,7,TRUE,"YES",TRUE,"very_loud",59
"1289",2.5,53,TRUE,"NO",TRUE,"average",93
"1291",3.5,122,TRUE,"YES",TRUE,"average",102
"1292",4.5,245,TRUE,"YES",TRUE,"average",36
"1293",4.5,77,FALSE,"YES",TRUE,"loud",67
"1295",4,9,FALSE,"YES",FALSE,"very_loud",106
"1297",4,96,TRUE,"YES",TRUE,"average",85
"1298",3,13,TRUE,"YES",TRUE,"average",50
"1300",2.5,39,FALSE,"YES",TRUE,"average",53.5
"1302",3.5,158,TRUE,"YES",TRUE,"average",95
"1304",3.5,67,TRUE,"YES",TRUE,"loud",108
"1306",4,20,TRUE,"YES",TRUE,"average",107
"1307",4.5,57,TRUE,"NO",FALSE,"average",67
"1308",4.5,353,TRUE,"YES",TRUE,"average",79
"1309",3.5,15,TRUE,"YES",TRUE,"average",91
"1310",3,94,TRUE,"YES",TRUE,"average",78
"1312",3,11,TRUE,"YES",TRUE,"average",71
"1313",3.5,45,TRUE,"YES",TRUE,"average",108.5
"1317",3.5,44,FALSE,"YES",TRUE,"average",104
"1318",3.5,186,FALSE,"YES",TRUE,"average",43
"1320",3,59,TRUE,"NO",TRUE,"average",77.5
"1322",3.5,29,TRUE,"YES",TRUE,"loud",134
"1323",4.5,133,TRUE,"NO",TRUE,"quiet",46.5
"1324",3,13,TRUE,"NO",TRUE,"average",108.5
"1326",3.5,67,TRUE,"YES",TRUE,"average",41
"1327",3.5,120,TRUE,"YES",FALSE,"average",43
"1329",4.5,49,TRUE,"NO",TRUE,"quiet",34
"1330",4.5,93,TRUE,"YES",TRUE,"average",79
"1331",3.5,126,TRUE,"YES",FALSE,"average",35.5
"1335",3.5,47,TRUE,"YES",TRUE,"average",63.5
"1336",4,343,TRUE,"YES",TRUE,"average",95.1666666666667
"1338",3.5,24,TRUE,"YES",TRUE,"average",73
"1342",3.5,191,FALSE,"YES",TRUE,"average",97
"1348",3.5,214,TRUE,"YES",FALSE,"loud",53
"1350",4.5,21,TRUE,"YES",TRUE,"quiet",52
"1352",3,70,FALSE,"YES",TRUE,"average",79
"1354",4.5,35,TRUE,"YES",FALSE,"average",82
"1355",4.5,5,FALSE,"NO",FALSE,"average",25
"1356",4,135,TRUE,"YES",TRUE,"average",37
"1359",4,466,TRUE,"YES",FALSE,"average",51
"1360",2.5,7,FALSE,"YES",TRUE,"average",88.5
"1361",4,115,TRUE,"YES",TRUE,"quiet",75
"1362",3,137,TRUE,"YES",TRUE,"loud",87
"1365",4,281,TRUE,"YES",FALSE,"average",70
"1366",3.5,47,TRUE,"YES",TRUE,"quiet",105
"1367",2.5,16,TRUE,"YES",TRUE,"very_loud",90
"1368",3.5,53,TRUE,"NO",TRUE,"average",74
"1370",4.5,46,FALSE,"YES",TRUE,"quiet",70
"1373",4,27,TRUE,"YES",TRUE,"average",70
"1374",3,19,TRUE,"YES",TRUE,"average",74
"1375",3.5,145,TRUE,"YES",TRUE,"loud",62
"1377",2,38,FALSE,"YES",TRUE,"very_loud",88
"1378",4,72,TRUE,"NO",FALSE,"average",80.5
"1379",2.5,55,TRUE,"YES",TRUE,"average",98
"1380",3,82,FALSE,"YES",TRUE,"loud",82.5
"1382",4,49,TRUE,"YES",TRUE,"average",105
"1385",4,158,TRUE,"YES",FALSE,"average",32
"1389",4,6,TRUE,"YES",FALSE,"loud",48
"1392",4,39,TRUE,"YES",TRUE,"loud",44
"1395",2.5,37,TRUE,"YES",TRUE,"average",101
"1405",4,140,TRUE,"YES",TRUE,"average",82
"1406",3,97,TRUE,"YES",TRUE,"average",97
"1407",3.5,42,TRUE,"YES",FALSE,"average",57
"1408",3.5,123,TRUE,"YES",TRUE,"average",78
"1409",4.5,307,TRUE,"YES",FALSE,"average",61.5
"1412",4.5,549,TRUE,"YES",TRUE,"average",25
"1413",3,27,FALSE,"YES",TRUE,"average",84
"1416",4,20,TRUE,"NO",TRUE,"loud",111
"1417",2.5,51,TRUE,"YES",FALSE,"average",168
"1418",4.5,210,TRUE,"NO",FALSE,"average",77
"1421",3,90,TRUE,"YES",TRUE,"average",77.5
"1423",3,43,FALSE,"YES",TRUE,"loud",53.5
"1428",4,77,FALSE,"YES",TRUE,"average",59
"1431",3.5,25,TRUE,"NO",TRUE,"loud",108.5
"1432",4,371,TRUE,"YES",TRUE,"average",70
"1433",3.5,217,TRUE,"YES",TRUE,"average",78
"1434",4,291,TRUE,"YES",FALSE,"average",94
"1435",3.5,360,TRUE,"YES",TRUE,"average",105
"1437",4.5,3,TRUE,"NO",TRUE,"loud",108
"1442",3.5,17,TRUE,"YES",TRUE,"average",110.5
"1443",4,237,FALSE,"YES",TRUE,"average",35
"1444",4.5,53,TRUE,"NO",TRUE,"average",44
"1447",4,98,TRUE,"YES",TRUE,"average",57
"1448",4,194,TRUE,"YES",TRUE,"average",63.5
"1449",4.5,19,TRUE,"YES",TRUE,"average",61
"1450",3.5,25,TRUE,"YES",TRUE,"very_loud",63
"1451",4,11,TRUE,"YES",TRUE,"very_loud",26
"1452",2.5,55,TRUE,"YES",TRUE,"average",86
"1457",3.5,50,TRUE,"YES",TRUE,"loud",108.5
"1458",4.5,169,TRUE,"YES",FALSE,"average",43
"1460",3.5,243,TRUE,"YES",TRUE,"average",89
"1461",3.5,34,TRUE,"NO",TRUE,"average",126
"1468",4,21,TRUE,"YES",TRUE,"very_loud",47
"1471",4,98,TRUE,"YES",FALSE,"average",70
"1475",4.5,45,TRUE,"YES",TRUE,"quiet",69
"1477",4.5,176,FALSE,"NO",TRUE,"loud",74
"1478",3.5,64,TRUE,"YES",TRUE,"average",85
"1481",3,126,TRUE,"YES",TRUE,"average",85
"1483",4.5,58,TRUE,"YES",FALSE,"average",70
"1484",4,188,TRUE,"YES",FALSE,"average",77
"1494",2.5,44,TRUE,"YES",TRUE,"average",105
"1495",2.5,41,TRUE,"YES",TRUE,"average",98
"1496",3,33,TRUE,"YES",TRUE,"average",64
"1497",4,30,TRUE,"YES",TRUE,"average",79
"1498",4,229,FALSE,"YES",TRUE,"average",85
"1499",4,74,TRUE,"YES",FALSE,"loud",55
"1501",4.5,72,TRUE,"YES",TRUE,"average",71
"1504",4,102,TRUE,"YES",TRUE,"average",57
"1505",3.5,84,TRUE,"YES",TRUE,"average",62
"1506",2.5,15,FALSE,"NO",TRUE,"average",101
"1507",4,479,TRUE,"YES",TRUE,"average",52.5
"1508",3,220,TRUE,"YES",TRUE,"loud",53
"1512",3.5,15,TRUE,"YES",TRUE,"loud",78
"1514",3.5,26,FALSE,"YES",TRUE,"average",34
"1516",3.5,7,FALSE,"YES",TRUE,"average",97.5
"1519",4,30,TRUE,"YES",TRUE,"average",54
"1520",3.5,325,FALSE,"YES",TRUE,"average",101
"1523",4.5,98,TRUE,"YES",FALSE,"average",57
"1524",3.5,158,TRUE,"YES",TRUE,"very_loud",54
"1525",3.5,106,TRUE,"YES",TRUE,"average",107
"1526",3.5,18,TRUE,"YES",TRUE,"average",103
"1527",2.5,126,TRUE,"YES",TRUE,"average",108
"1528",3.5,25,FALSE,"YES",TRUE,"average",98.5
"1529",4,69,TRUE,"YES",TRUE,"average",89
"1530",3.5,98,FALSE,"YES",TRUE,"average",41
"1533",3,159,TRUE,"YES",TRUE,"average",78
"1534",4.5,116,TRUE,"YES",TRUE,"average",85
"1537",2.5,109,TRUE,"YES",TRUE,"average",105
"1538",4,98,FALSE,"YES",TRUE,"average",81
"1539",3.5,30,TRUE,"YES",FALSE,"average",75
"1542",3,17,TRUE,"YES",FALSE,"average",78
"1543",3,59,TRUE,"YES",FALSE,"average",77
"1545",4,30,FALSE,"YES",TRUE,"very_loud",83
"1546",3,25,TRUE,"YES",TRUE,"loud",108.5
"1547",4.5,170,TRUE,"YES",TRUE,"average",93
"1551",3.5,185,TRUE,"YES",TRUE,"average",85
"1555",3.5,64,FALSE,"NO",TRUE,"average",70
"1559",3.5,75,TRUE,"YES",TRUE,"average",98
"1562",3.5,49,TRUE,"YES",TRUE,"average",95
"1564",3,127,TRUE,"YES",TRUE,"average",97
"1565",3.5,59,FALSE,"YES",TRUE,"average",79
"1566",3.5,27,TRUE,"YES",TRUE,"average",105
"1570",3.5,41,FALSE,"YES",TRUE,"average",114
"1572",3,48,TRUE,"YES",TRUE,"average",95
"1574",4.5,38,FALSE,"NO",TRUE,"quiet",48.5
"1577",3,22,FALSE,"YES",TRUE,"loud",64.5
"1579",4,90,FALSE,"YES",TRUE,"average",72
"1581",2,85,TRUE,"YES",TRUE,"loud",91
"1582",2,38,FALSE,"YES",TRUE,"very_loud",101
"1585",2.5,32,TRUE,"YES",TRUE,"very_loud",105
"1586",3.5,12,TRUE,"YES",TRUE,"average",114.5
"1588",3.5,132,TRUE,"YES",TRUE,"loud",85
"1589",3.5,43,FALSE,"YES",TRUE,"average",64.5
"1590",4.5,274,FALSE,"YES",TRUE,"average",40
"1593",3,58,TRUE,"YES",TRUE,"average",92
"1594",3.5,23,TRUE,"NO",TRUE,"average",101
"1595",4,72,TRUE,"YES",TRUE,"loud",117
"1596",4,702,TRUE,"YES",TRUE,"average",118.5
"1597",4,23,TRUE,"YES",TRUE,"average",98
"1598",4,143,TRUE,"YES",TRUE,"average",105
"1599",3.5,88,TRUE,"YES",TRUE,"quiet",70.5
"1601",3.5,27,TRUE,"YES",TRUE,"average",51
"1606",3,50,TRUE,"YES",TRUE,"average",94
"1608",3,14,TRUE,"YES",TRUE,"quiet",110
"1609",4.5,14,TRUE,"NO",FALSE,"quiet",53.25
"1610",3.5,18,TRUE,"NO",TRUE,"average",93
"1613",3,45,TRUE,"YES",TRUE,"average",80
"1616",4,31,TRUE,"YES",TRUE,"quiet",30
"1617",3.5,13,TRUE,"NO",TRUE,"average",107.5
"1623",3.5,20,TRUE,"YES",TRUE,"average",93
"1625",3,76,TRUE,"YES",TRUE,"average",87
"1629",4.5,171,TRUE,"YES",TRUE,"average",74
"1630",3.5,225,TRUE,"YES",TRUE,"average",31
"1633",2.5,28,TRUE,"YES",TRUE,"loud",108.5
"1634",3.5,88,TRUE,"YES",TRUE,"very_loud",66
"1637",3.5,133,TRUE,"YES",TRUE,"loud",54
"1643",3.5,289,TRUE,"YES",TRUE,"average",64
"1644",4,13,TRUE,"NO",FALSE,"quiet",40
"1645",4,60,TRUE,"YES",TRUE,"average",73
"1646",3.5,327,TRUE,"YES",TRUE,"loud",108
"1649",3.5,138,FALSE,"YES",TRUE,"average",78.5
"1650",2,28,TRUE,"YES",TRUE,"average",98
"1651",3,133,TRUE,"YES",TRUE,"average",105
"1654",4.5,256,TRUE,"YES",FALSE,"average",89
"1655",3.5,802,FALSE,"YES",TRUE,"loud",102
"1657",3.5,36,TRUE,"YES",FALSE,"average",78
"1659",3.5,125,TRUE,"YES",TRUE,"average",75
"1660",3.5,30,TRUE,"YES",TRUE,"average",96.5
"1663",3,85,FALSE,"YES",TRUE,"very_loud",77
"1665",4,32,TRUE,"YES",TRUE,"average",74
"1668",3.5,92,TRUE,"YES",FALSE,"average",103.5
"1671",3.5,54,TRUE,"YES",TRUE,"average",73.5
"1672",3.5,104,TRUE,"YES",TRUE,"average",85
"1673",4,207,TRUE,"YES",TRUE,"average",39
"1677",3,266,TRUE,"YES",TRUE,"average",95
"1678",3,114,TRUE,"YES",TRUE,"loud",101
"1680",2.5,35,FALSE,"YES",TRUE,"loud",105
"1681",3.5,34,TRUE,"YES",TRUE,"loud",99
"1686",4,41,FALSE,"YES",TRUE,"average",77
"1687",3.5,52,TRUE,"YES",FALSE,"average",65.5
"1688",4,14,TRUE,"NO",FALSE,"quiet",76.5
"1693",4,18,TRUE,"YES",TRUE,"loud",129
"1694",4,105,TRUE,"YES",FALSE,"average",36.5
"1697",4,8,TRUE,"NO",TRUE,"average",117
"1698",3,55,TRUE,"YES",TRUE,"average",51
"1701",4,266,TRUE,"YES",TRUE,"average",57
"1702",4,246,TRUE,"YES",TRUE,"average",83
"1704",3,14,TRUE,"YES",TRUE,"average",102
"1706",3.5,272,TRUE,"YES",TRUE,"loud",84
"1707",3,23,TRUE,"YES",TRUE,"loud",107.5
"1709",4,13,TRUE,"NO",TRUE,"very_loud",10
"1712",3,60,TRUE,"NO",TRUE,"very_loud",93
"1716",3.5,81,TRUE,"YES",FALSE,"average",54.5
"1717",4,115,FALSE,"YES",TRUE,"quiet",78.5
"1718",4,41,TRUE,"YES",TRUE,"average",105
"1719",4,140,TRUE,"YES",TRUE,"loud",76
"1720",3.5,51,TRUE,"YES",TRUE,"average",100
"1721",3,27,TRUE,"YES",TRUE,"quiet",80
"1726",4,84,TRUE,"YES",TRUE,"average",88
"1729",4,452,TRUE,"YES",TRUE,"average",55.5
"1731",4.5,40,FALSE,"NO",TRUE,"quiet",58
"1733",2.5,29,TRUE,"YES",TRUE,"average",62
"1735",3.5,161,TRUE,"YES",TRUE,"average",68
"1736",4,175,TRUE,"YES",TRUE,"average",73
"1737",3.5,26,TRUE,"YES",TRUE,"average",104
"1739",5,5,FALSE,"YES",FALSE,"average",37.5
"1740",4,57,FALSE,"YES",TRUE,"average",53
"1741",4,120,TRUE,"YES",TRUE,"quiet",34.5
"1742",3,67,FALSE,"YES",TRUE,"average",71
"1743",4.5,15,TRUE,"YES",FALSE,"quiet",60
"1744",3.5,29,TRUE,"YES",TRUE,"average",79
"1747",3.5,159,TRUE,"YES",TRUE,"average",91
"1748",4,42,TRUE,"YES",TRUE,"loud",88
"1751",3,11,TRUE,"YES",TRUE,"loud",112
"1752",3.5,31,TRUE,"YES",TRUE,"average",101.5
"1755",4,51,TRUE,"YES",TRUE,"average",52
"1758",3.5,150,TRUE,"YES",TRUE,"average",87
"1759",4.5,44,TRUE,"YES",TRUE,"quiet",82
"1761",2,62,TRUE,"YES",TRUE,"loud",93
"1766",2.5,256,TRUE,"NO",TRUE,"loud",88
"1768",3.5,399,TRUE,"YES",TRUE,"loud",77
"1769",3.5,12,FALSE,"NO",TRUE,"loud",81
"1772",3.5,32,FALSE,"NO",TRUE,"average",97
"1773",4,54,TRUE,"NO",TRUE,"average",91.5
"1777",4,99,TRUE,"YES",TRUE,"average",88
"1780",4,438,TRUE,"YES",TRUE,"average",88
"1783",2,73,TRUE,"YES",TRUE,"very_loud",106
"1784",3,44,TRUE,"NO",TRUE,"loud",94
"1786",3.5,33,FALSE,"NO",TRUE,"very_loud",93
"1789",4,44,TRUE,"YES",TRUE,"very_loud",82
"1790",3.5,50,TRUE,"YES",TRUE,"very_loud",95
"1792",4,36,FALSE,"YES",TRUE,"average",93
"1795",4.5,450,TRUE,"YES",FALSE,"average",50
"1796",3.5,454,FALSE,"YES",TRUE,"loud",110
"1799",4,30,TRUE,"YES",TRUE,"average",64
"1800",4,88,TRUE,"YES",FALSE,"average",18
"1801",2,6,TRUE,"YES",TRUE,"average",108.5
"1802",3,79,TRUE,"YES",TRUE,"very_loud",101
"1803",3.5,115,TRUE,"YES",TRUE,"average",47
"1807",3.5,36,TRUE,"YES",TRUE,"loud",100
"1809",4.5,27,FALSE,"YES",TRUE,"average",41
"1810",4,162,TRUE,"YES",TRUE,"average",104.5
"1813",4.5,63,TRUE,"YES",TRUE,"average",67
"1814",3.5,50,TRUE,"YES",TRUE,"average",79
"1817",3.5,96,FALSE,"YES",TRUE,"quiet",75.5
"1818",4,123,TRUE,"YES",TRUE,"average",78
"1819",3.5,82,TRUE,"YES",TRUE,"average",54
"1820",3.5,138,TRUE,"YES",TRUE,"average",106
"1823",3,104,TRUE,"YES",TRUE,"average",86
"1825",3.5,87,TRUE,"NO",TRUE,"quiet",79
"1826",3,53,TRUE,"YES",TRUE,"loud",105
"1832",4,272,FALSE,"YES",TRUE,"average",73.5
"1833",3,149,TRUE,"YES",TRUE,"loud",114
"1834",3.5,43,TRUE,"YES",TRUE,"average",72
"1835",3,107,TRUE,"YES",TRUE,"average",97
"1836",3.5,617,FALSE,"YES",TRUE,"average",81
"1839",3.5,39,TRUE,"YES",TRUE,"quiet",45.5
"1841",4,173,FALSE,"YES",TRUE,"average",76
"1844",4,56,TRUE,"YES",TRUE,"loud",64
"1845",3.5,94,TRUE,"YES",TRUE,"average",92
"1847",4,192,TRUE,"YES",TRUE,"average",105
"1848",3.5,80,TRUE,"YES",TRUE,"average",70
"1849",4,112,TRUE,"YES",FALSE,"average",46
"1850",4.5,106,TRUE,"YES",TRUE,"average",51.5
"1852",4,77,TRUE,"YES",TRUE,"very_loud",45.5
"1854",4,9,FALSE,"YES",TRUE,"average",96
"1857",4,172,TRUE,"YES",TRUE,"average",87
"1862",2.5,51,TRUE,"YES",TRUE,"average",92
"1863",2.5,27,TRUE,"YES",TRUE,"average",96.5
"1871",4,22,TRUE,"YES",TRUE,"loud",86
"1872",3,4,TRUE,"NO",TRUE,"quiet",41
"1873",4,153,TRUE,"YES",TRUE,"average",70
"1874",3.5,187,TRUE,"YES",FALSE,"average",42
"1876",4,474,FALSE,"YES",TRUE,"average",36
"1877",4.5,162,TRUE,"YES",FALSE,"average",45
"1878",4,148,TRUE,"YES",TRUE,"loud",91
"1879",4.5,6,TRUE,"YES",TRUE,"quiet",50
"1880",4.5,106,TRUE,"YES",TRUE,"average",54
"1882",2.5,3,FALSE,"YES",TRUE,"average",105
"1883",3.5,195,TRUE,"YES",TRUE,"average",105
"1886",3.5,17,TRUE,"YES",TRUE,"average",36
"1887",4,99,TRUE,"YES",TRUE,"average",87
"1890",4,36,FALSE,"NO",FALSE,"average",64.5
"1891",4.5,138,TRUE,"YES",TRUE,"average",82
"1893",4.5,109,TRUE,"YES",FALSE,"average",95
"1898",3,11,TRUE,"YES",TRUE,"average",105.5
"1899",3.5,19,TRUE,"NO",TRUE,"average",127
"1901",3.5,80,FALSE,"YES",TRUE,"average",94
"1902",4,234,TRUE,"YES",TRUE,"average",88
"1905",4,190,TRUE,"YES",TRUE,"average",54
"1906",4.5,39,TRUE,"YES",TRUE,"average",93
"1907",3,59,TRUE,"YES",TRUE,"average",79
"1908",4.5,180,TRUE,"YES",FALSE,"average",61
"1909",2.5,96,TRUE,"YES",TRUE,"average",72
"1911",4,8,TRUE,"YES",TRUE,"average",108
"1912",4,28,FALSE,"YES",TRUE,"quiet",71.5
"1913",3,23,TRUE,"YES",TRUE,"average",108.5
"1914",3.5,114,FALSE,"YES",TRUE,"average",50.5
"1915",3,80,FALSE,"YES",TRUE,"loud",94
"1917",3.5,3,TRUE,"NO",TRUE,"loud",104
"1918",4,91,TRUE,"YES",TRUE,"average",83
"1919",3,24,TRUE,"NO",TRUE,"average",101
"1926",3,370,TRUE,"YES",TRUE,"loud",99
"1927",3,70,TRUE,"YES",TRUE,"average",99
"1928",4,154,TRUE,"YES",FALSE,"average",60
"1930",3.5,149,TRUE,"YES",TRUE,"average",105
"1931",4.5,52,FALSE,"YES",TRUE,"quiet",39.5
"1933",3,110,TRUE,"YES",TRUE,"average",79
"1935",3,40,FALSE,"NO",TRUE,"average",61.5
"1940",3,107,FALSE,"YES",TRUE,"average",110.5
"1942",3.5,157,TRUE,"YES",TRUE,"quiet",60
"1945",4,324,TRUE,"YES",TRUE,"average",43
"1946",3.5,27,TRUE,"YES",TRUE,"average",83
